%++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
% ISMIP HEINO:
% Ice-land-ocean mask. 0: glaciated land, 1: ice-free land, 2: ocean.
% Horizontal resolution 25 km.
% 161 records [j = 160 (-1) 0] with  161 values [i = 0 (1) 160] in each record.
%++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
22222222222222222211111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111222222222222222222  (j= 30)
22222222222222222221111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111112222222222222222222  (j= 29)
22222222222222222222111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111122222222222222222222  (j= 28)
22222222222222222222211111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111222222222222222222222  (j= 27)
22222222222222222222211111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111222222222222222222222  (j= 26)
22222222222222222222221111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111112222222222222222222222  (j= 25)
22222222222222222222222111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111122222222222222222222222  (j= 24)
22222222222222222222222211111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111222222222222222222222222  (j= 23)
22222222222222222222222221111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111112222222222222222222222222  (j= 22)
22222222222222222222222222111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111122222222222222222222222222  (j= 21)
22222222222222222222222222221111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111112222222222222222222222222222  (j= 20)
22222222222222222222222222222111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111122222222222222222222222222222  (j= 19)
22222222222222222222222222222211111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111222222222222222222222222222222  (j= 18)
22222222222222222222222222222221111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111112222222222222222222222222222222  (j= 17)
22222222222222222222222222222222211111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111222222222222222222222222222222222  (j= 16)
22222222222222222222222222222222221111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111112222222222222222222222222222222222  (j= 15)
22222222222222222222222222222222222111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111122222222222222222222222222222222222  (j= 14)
22222222222222222222222222222222222221111111111111111111111111111111111111111111111111111111111111111111111111111111111111112222222222222222222222222222222222222  (j= 13)
22222222222222222222222222222222222222111111111111111111111111111111111111111111111111111111111111111111111111111111111111122222222222222222222222222222222222222  (j= 12)
22222222222222222222222222222222222222221111111111111111111111111111111111111111111111111111111111111111111111111111111112222222222222222222222222222222222222222  (j= 11)
22222222222222222222222222222222222222222211111111111111111111111111111111111111111111111111111111111111111111111111111222222222222222222222222222222222222222222  (j= 10)
22222222222222222222222222222222222222222222111111111111111111111111111111111111111111111111111111111111111111111111122222222222222222222222222222222222222222222  (j=  9)
22222222222222222222222222222222222222222222221111111111111111111111111111111111111111111111111111111111111111111112222222222222222222222222222222222222222222222  (j=  8)
22222222222222222222222222222222222222222222222211111111111111111111111111111111111111111111111111111111111111111222222222222222222222222222222222222222222222222  (j=  7)
22222222222222222222222222222222222222222222222222111111111111111111111111111111111111111111111111111111111111122222222222222222222222222222222222222222222222222  (j=  6)
22222222222222222222222222222222222222222222222222222111111111111111111111111111111111111111111111111111111122222222222222222222222222222222222222222222222222222  (j=  5)
22222222222222222222222222222222222222222222222222222222111111111111111111111111111111111111111111111111122222222222222222222222222222222222222222222222222222222  (j=  4)
22222222222222222222222222222222222222222222222222222222222111111111111111111111111111111111111111111122222222222222222222222222222222222222222222222222222222222  (j=  3)
22222222222222222222222222222222222222222222222222222222222222211111111111111111111111111111111111222222222222222222222222222222222222222222222222222222222222222  (j=  2)
22222222222222222222222222222222222222222222222222222222222222222222111111111111111111111111122222222222222222222222222222222222222222222222222222222222222222222  (j=  1)
22222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222  (j=  0)
